date,local,outside,foreign
2023-06-18,197799.0,196507.5,1677.2999999999997
2023-06-19,212229.5,113550.5,1431.2800000000002
2023-06-20,214056.5,116921.0,1463.21
2023-06-21,212005.5,108902.5,1463.6799999999996
2023-06-22,214942.0,126434.0,1529.74
2023-06-23,219359.0,142285.5,1645.3300000000002
2023-06-24,200308.5,187054.0,1564.8800000000003
2023-06-25,193585.0,189441.0,1634.5900000000001
2023-06-26,208323.5,103722.5,1380.7500000000002
2023-06-27,214585.0,118657.0,1463.9300000000003
2023-06-28,214833.5,123452.0,1573.3600000000006
2023-06-29,206332.0,107667.0,1523.8300000000002
2023-06-30,217808.5,131750.5,1635.0300000000007
2023-07-01,197162.0,160538.0,1577.2199999999996
2023-07-02,189871.5,154588.0,1521.04
2023-07-03,207840.5,97923.0,1636.8499999999997
2023-07-04,205338.0,94853.5,1466.2800000000002
2023-07-05,211998.5,102424.0,1579.4000000000003
2023-07-06,211109.5,109319.0,1567.41
2023-07-07,215610.5,124817.0,1674.7800000000002
2023-07-08,199108.0,174559.0,1815.3899999999994
2023-07-09,186007.5,155498.0,1882.5699999999995
2023-07-10,212387.0,100516.5,1713.4800000000002
2023-07-11,204151.5,97128.5,1650.1499999999994
2023-07-12,212537.5,108010.0,1689.6400000000003
2023-07-13,202636.0,93814.0,1546.26
2023-07-14,206787.0,103530.0,1679.51
2023-07-15,196840.0,141666.0,1768.8999999999999
2023-07-16,190715.0,133717.5,1735.4999999999995
2023-07-17,209219.5,101752.0,1740.3700000000001
2023-07-18,207980.5,102949.0,1823.32
2023-07-19,211638.0,118737.5,1858.1200000000001
2023-07-20,209762.0,120375.5,1894.5000000000002
2023-07-21,211879.5,134879.5,1886.0399999999997
2023-07-22,196003.5,163422.0,1797.6699999999998
2023-07-23,177142.0,129822.0,1740.2900000000002
2023-07-24,204354.5,111163.5,1704.1200000000001
2023-07-25,205408.0,118468.0,1655.82
2023-07-26,203157.5,122419.5,1810.4
2023-07-27,202772.5,127361.5,1827.38
2023-07-28,203133.0,141648.5,1877.0099999999998
2023-07-29,188328.0,183368.5,1907.1199999999997
2023-07-30,179938.5,181482.0,1842.52
2023-07-31,195244.0,134543.5,1723.8600000000004
2023-08-01,197274.0,111576.5,1890.6
2023-08-02,197715.0,113813.0,2000.6199999999997
2023-08-03,196980.0,115339.0,1832.49
2023-08-04,198779.0,121523.5,1976.0299999999997
2023-08-05,186973.5,157993.5,1991.0999999999997
2023-08-06,182210.0,150370.5,1917.2999999999997
2023-08-07,201481.0,101776.5,1705.9599999999998
2023-08-08,202618.5,110484.5,1920.46
2023-08-09,205747.5,110764.5,1800.0599999999995
2023-08-10,189486.5,76639.5,1674.6799999999996
2023-08-11,203927.5,107331.0,1799.1999999999996
2023-08-12,191397.5,157920.0,2053.2099999999996
2023-08-13,181772.5,163184.0,1915.0000000000002
2023-08-14,203469.0,136965.5,1636.8699999999997
2023-08-15,190715.0,167461.0,1656.6299999999997
2023-08-16,208677.0,109599.0,1714.8500000000001
