date,gonjiam_slope_lag7_29
2024-03-24,-0.04172883540372672
2024-03-25,-0.045537344720496906
2024-03-26,-0.04660681677018635
2024-03-27,-0.04621782608695652
2024-03-28,-0.04208113354037267
2024-03-29,-0.035875000000000004
2024-03-30,-0.03183804347826087
2024-03-31,-0.029736677018633546
2024-04-01,-0.02685728260869566
2024-04-02,-0.021685295031055908
2024-04-03,-0.01575431677018634
2024-04-04,-0.008504301242236027
2024-04-05,-0.0011437422360248484
2024-04-06,0.00410683229813664
2024-04-07,0.005545885093167691
2024-04-08,0.006877437888198751
2024-04-09,0.008297468944099372
2024-04-10,0.006768198757763968
2024-04-11,0.004754906832298131
2024-04-12,0.002828804347826084
2024-04-13,-0.00015037267080745642
2024-04-14,-0.003296630434782615
2024-04-15,-0.0027543167701863398
2024-04-16,0.0005080590062111775
2024-04-17,0.0013206832298136631
2024-04-18,0.0018803260869565206
2024-04-19,0.002797872670807455
2024-04-20,0.002007763975155281
2024-04-21,0.00034847826086956813
2024-04-22,0.0008734627329192584
2024-04-23,0.00303133540372671
2024-04-24,0.003967748447204971
2024-04-25,0.00457521739130435
2024-04-26,0.00473585403726708
2024-04-27,0.003078354037267081
2024-04-28,-0.0005121118012422346
2024-04-29,-0.0021855590062111784
2024-04-30,-0.0017865838509316734
2024-05-01,-0.0024013819875776375
2024-05-02,-0.0029164440993788795
2024-05-03,-0.003259689440993784
2024-05-04,-0.0046206055900621075
2024-05-05,-0.007109689440993787
2024-05-06,-0.006879549689440989
2024-05-07,-0.004333043478260867
2024-05-08,-0.0030252639751552775
2024-05-09,-0.0017671428571428543
2024-05-10,0.00011961180124223862
2024-05-11,0.0004792391304347842
2024-05-12,-0.0007214906832298109
2024-05-13,-0.000994332298136643
2024-05-14,-0.0005301708074534151
2024-05-15,-0.0016415217391304358
2024-05-16,-0.0028413975155279496
2024-05-17,-0.0021220652173913022
2024-05-18,-0.0022139906832298116
2024-05-19,-0.002710077639751548
2024-05-20,-0.0016695186335403717
2024-05-21,0.00033386645962732935
2024-05-22,0.000457344720496895
2024-05-23,5.795031055900703e-05
2024-05-24,0.0008390062111801238
2024-05-25,0.00047892857142857145
2024-05-26,-0.0010149689440993803
2024-05-27,-0.0004670962732919273
2024-05-28,0.0011597360248447191
2024-05-29,0.0015094099378881961
2024-05-30,0.0012149378881987551
2024-05-31,0.0012520652173913028
2024-06-01,0.00022880434782608604
