date,ski_field,hwadam_foliage
2023-03-18,0.63419,0.20688
2023-03-19,0.65045,0.20688
2023-03-20,0.54475,0.15046
2023-03-21,0.43092,0.22569
2023-03-22,0.30896,0.18807
2023-03-23,0.35775,0.2539
2023-03-24,0.23579,0.28211
2023-03-25,0.41466,0.30092
2023-03-26,0.20326,0.2539
2023-03-27,0.26831,0.27271
2023-03-28,0.22766,0.34794
2023-03-29,0.23579,0.31972
2023-03-30,0.19513,0.2539
2023-03-31,0.187,0.37615
2023-04-01,0.19513,0.40436
2023-04-02,0.10569,0.37615
2023-04-03,0.22766,0.36674
2023-04-04,0.17074,0.35734
2023-04-05,0.11383,0.35734
2023-04-06,0.187,0.29151
2023-04-07,0.20326,0.23509
2023-04-08,0.187,0.36674
2023-04-09,0.32522,0.17867
2023-04-10,0.21139,0.20688
2023-04-11,0.17074,0.22569
2023-04-12,0.19513,0.20688
2023-04-13,0.11383,0.12224
2023-04-14,0.19513,0.33853
2023-04-15,0.11383,0.16926
2023-04-16,0.20326,0.24449
2023-04-17,0.26831,0.18807
2023-04-18,0.21953,0.07523
2023-04-19,0.19513,0.10344
2023-04-20,0.20326,0.08463
2023-04-21,0.28457,0.15986
2023-04-22,0.23579,0.22569
2023-04-23,0.26018,0.22569
2023-04-24,0.16261,0.11284
2023-04-25,0.17074,0.09403
2023-04-26,0.23579,0.13165
2023-04-27,0.15448,0.12224
2023-04-28,0.17074,0.10344
2023-04-29,0.13822,0.15986
2023-04-30,0.33336,0.24449
2023-05-01,0.24392,0.22569
2023-05-02,0.22766,0.20688
2023-05-03,0.17887,0.05642
2023-05-04,0.23579,0.15046
2023-05-05,0.10569,0.17867
2023-05-06,0.17887,0.08463
2023-05-07,0.15448,0.11284
2023-05-08,0.15448,0.06582
2023-05-09,0.23579,0.13165
2023-05-10,0.187,0.07523
2023-05-11,0.26018,0.16926
2023-05-12,0.10569,
2023-05-13,0.21139,0.14105
2023-05-14,0.24392,0.19747
2023-05-15,0.21953,0.16926
2023-05-16,0.187,0.09403
2023-05-17,0.27644,0.11284
2023-05-18,0.27644,0.07523
2023-05-19,0.187,0.09403
2023-05-20,0.17887,0.21628
2023-05-21,0.26831,0.28211
2023-05-22,0.13822,0.15986
2023-05-23,0.15448,0.15046
2023-05-24,0.26018,0.12224
2023-05-25,0.23579,0.06582
2023-05-26,0.09756,0.08463
2023-05-27,0.16261,0.21628
2023-05-28,0.13822,0.19747
2023-05-29,0.17887,0.15986
2023-05-30,0.32522,0.16926
2023-05-31,0.16261,0.18807
2023-06-01,0.17074,0.09403
2023-06-02,0.13822,0.11284
2023-06-03,0.25205,0.15986
2023-06-04,0.26018,0.21628
2023-06-05,0.15448,0.08463
2023-06-06,0.26831,0.34794
2023-06-07,0.30083,0.37615
2023-06-08,0.32522,0.30092
2023-06-09,0.27644,0.08463
2023-06-10,0.23579,0.21628
2023-06-11,0.30083,0.24449
2023-06-12,0.31709,0.23509
2023-06-13,0.22766,0.2633
2023-06-14,0.26018,0.11284
2023-06-15,0.30083,0.12224
2023-06-16,0.25205,0.2633
2023-06-17,0.22766,0.22569
2023-06-18,0.28457,0.2539
2023-06-19,0.22766,0.28211
2023-06-20,0.17074,0.18807
2023-06-21,0.24392,0.17867
2023-06-22,0.30896,0.17867
2023-06-23,0.21139,0.2539
2023-06-24,0.25205,0.19747
2023-06-25,0.26831,0.23509
2023-06-26,0.28457,0.17867
2023-06-27,0.27644,0.15046
2023-06-28,0.24392,0.2539
2023-06-29,0.17887,0.24449
2023-06-30,0.21139,0.14105
2023-07-01,0.24392,0.17867
2023-07-02,0.25205,0.30092
2023-07-03,0.26831,0.32913
2023-07-04,0.17074,0.33853
2023-07-05,0.22766,0.29151
2023-07-06,0.19513,0.23509
2023-07-07,0.38214,0.2633
2023-07-08,0.30896,0.30092
2023-07-09,0.21139,0.36674
2023-07-10,0.23579,0.23509
2023-07-11,0.26018,0.30092
2023-07-12,0.30083,0.15986
2023-07-13,0.28457,0.31032
2023-07-14,0.26018,0.17867
2023-07-15,0.187,0.34794
2023-07-16,0.20326,0.40436
2023-07-17,0.32522,0.46078
2023-07-18,0.31709,0.37615
2023-07-19,0.26831,0.28211
2023-07-20,0.21139,0.23509
2023-07-21,0.24392,0.17867
2023-07-22,0.26831,0.35734
2023-07-23,0.23579,0.38555
2023-07-24,0.22766,0.38555
2023-07-25,0.33336,0.39495
2023-07-26,0.34149,0.36674
2023-07-27,0.31709,0.5172
2023-07-28,0.2927,0.41376
2023-07-29,0.23579,0.31972
2023-07-30,0.3984,0.66766
2023-07-31,0.46345,0.63005
2023-08-01,0.49597,0.65826
2023-08-02,0.26018,0.91216
2023-08-03,0.30083,0.7617
2023-08-04,0.3984,0.67707
2023-08-05,0.45532,0.70528
2023-08-06,0.45532,0.67707
2023-08-07,0.42279,0.94978
2023-08-08,0.54475,0.88395
2023-08-09,0.47158,0.81813
2023-08-10,0.36588,0.7617
2023-08-11,0.37401,1.09084
2023-08-12,0.28457,1.2413
2023-08-13,0.34149,1.65506
2023-08-14,0.58541,1.4952
2023-08-15,0.48784,1.57983
2023-08-16,0.51223,1.87135
2023-08-17,0.39027,1.85254
2023-08-18,0.47158,1.90897
2023-08-19,0.38214,1.54222
2023-08-20,0.38214,2.18168
2023-08-21,0.56102,2.87756
2023-08-22,0.52849,2.31333
2023-08-23,0.69924,3.01861
2023-08-24,0.68298,2.7365
2023-08-25,0.65859,3.36656
2023-08-26,0.60167,3.58284
2023-08-27,0.55289,7.56065
2023-08-28,0.72363,9.22512
2023-08-29,0.64232,9.12168
2023-08-30,0.63419,6.88358
2023-08-31,0.86185,7.48542
2023-09-01,0.83746,9.61068
2023-09-02,0.7155,8.77374
2023-09-03,0.69111,10.70152
2023-09-04,1.14643,16.74816
2023-09-05,0.91877,10.69211
2023-09-06,0.80494,7.41019
2023-09-07,0.79681,7.02463
2023-09-08,0.9269,6.48862
2023-09-09,0.91877,6.78954
2023-09-10,0.80494,8.96182
2023-09-11,1.3497,9.83637
2023-09-12,1.21148,8.59507
2023-09-13,1.30091,7.72051
