td,cluster,actual,pred,residual,resid_ratio
2023-09-02,hwadam,4872.0,1860.050253009421,3011.949746990579,2.6192840715553096
2023-09-02,ski,1925.0,2601.6386718692106,-676.6386718692106,0.7399182756677494
2023-09-03,always,4333.0,4738.659059930205,-405.65905993020533,0.9143937019313265
2023-09-03,b2b,0.0,1145.4357030003216,-1145.4357030003216,0.0
2023-09-03,green,378.0,1480.2521485272673,-1102.2521485272673,0.2553618992386397
2023-09-03,hwadam,2814.0,1833.9594442364926,980.0405557635074,1.534385075331649
2023-09-03,ski,1666.0,2518.6610865424773,-852.6610865424773,0.6614625559991566
2023-09-04,always,2009.0,3642.3367973995023,-1633.3367973995023,0.5515689821529832
2023-09-04,b2b,28.0,1105.7448622757372,-1077.7448622757372,0.025322297172941963
2023-09-04,green,0.0,1231.7498210783413,-1231.7498210783413,0.0
2023-09-04,hwadam,0.0,1105.649896591078,-1105.649896591078,0.0
2023-09-04,ski,203.0,1955.0486497655772,-1752.0486497655772,0.10383373325484303
2023-09-05,always,1904.0,3185.3953292014025,-1281.3953292014025,0.5977280064880813
2023-09-05,b2b,504.0,1050.994602570268,-546.994602570268,0.4795457548187583
2023-09-05,green,182.0,1273.2182382641522,-1091.2182382641522,0.14294485778661992
2023-09-05,hwadam,1288.0,673.4119736655556,614.5880263344444,1.9126479040595057
2023-09-05,ski,6314.0,1841.9954787667966,4472.004521233203,3.4278042876778283
2023-09-06,always,1477.0,2949.192586806098,-1472.192586806098,0.5008150388712167
2023-09-06,b2b,196.0,1065.230006343178,-869.230006343178,0.18399782097093498
2023-09-06,green,945.0,1296.9655770563934,-351.9655770563934,0.7286238098506684
2023-09-06,hwadam,840.0,612.2427302511009,227.75726974889915,1.372004857706499
2023-09-06,ski,2898.0,1840.88042995859,1057.11957004141,1.5742467315300808
2023-09-07,always,2884.0,3112.976701514724,-228.97670151472403,0.9264444538234714
2023-09-07,b2b,378.0,926.3033661171766,-548.3033661171766,0.4080736547298516
2023-09-07,green,1323.0,2214.6627515967484,-891.6627515967484,0.597382151772829
2023-09-07,hwadam,875.0,746.7269143402882,128.2730856597118,1.171780450384646
2023-09-07,ski,203.0,2146.8014675843183,-1943.8014675843183,0.09455927949798969
2023-09-08,always,3430.0,3907.116785765938,-477.11678576593795,0.877885199770806
2023-09-08,b2b,259.0,1096.5434390819348,-837.5434390819348,0.23619675315083186
2023-09-08,green,1113.0,1532.4298162026987,-419.4298162026987,0.7262975362604015
2023-09-08,hwadam,2002.0,873.6341321832042,1128.3658678167958,2.2915771330923382
2023-09-08,ski,1820.0,2991.15690322306,-1171.15690322306,0.6084602242158865
2023-09-09,always,4158.0,5109.5051921238155,-951.5051921238155,0.813777429252731
2023-09-09,b2b,280.0,1139.7972896766391,-859.7972896766391,0.24565771697828487
2023-09-09,green,1813.0,1498.1448155643056,314.85518443569435,1.2101633841833228
2023-09-09,hwadam,4431.0,2420.128287293088,2010.8717127069121,1.830894677470206
2023-09-09,ski,2086.0,2395.8722010837632,-309.87220108376323,0.8706641360321332
2023-09-10,always,4830.0,4264.511563730876,565.4884362691237,1.1326033304912408
2023-09-10,b2b,7.0,915.9560641218937,-908.9560641218937,0.0076422879592054896
2023-09-10,green,483.0,1223.0909941228188,-740.0909941228188,0.39490111718662424
